Note: there are more sheets in this document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Each session is found on its own sheet below. There is a session for each time you have renewed these questions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Voter,Location- Which campus are you located?:,First Impressions- What did you think when you first saw the furniture?:,First Impressions- What piece of furniture caught your eye first?: 1,First Impressions- What piece of furniture caught your eye first?: 2,First Impressions- What piece of furniture caught your eye first?: 3,First Impressions- What piece of furniture caught your eye first?: 4,First Impressions- What piece of furniture caught your eye first?: 5,First Impressions- What piece of furniture caught your eye first?: 6,First Impressions- What piece of furniture caught your eye first?: 7,First Impressions- What piece of furniture caught your eye first?: 8,First Impressions- What piece of furniture caught your eye first?: 9,First Impressions- What piece of furniture caught your eye first?: 10,First Impressions- What piece of furniture caught your eye first?: 11,Comfort- Have you tested all 4 chairs?:,Comfort- Which is your favorite chair?:,Comfort- Why is it your favorite chair?: 1,Comfort- Why is it your favorite chair?: 2,Comfort- Why is it your favorite chair?: 3,Comfort- Why is it your favorite chair?: 4,Comfort- How comfortable is your favorite chair?:,Comfort- How long can you comfortably sit in your favorite chair?:,Functionality- Have you tested all 4 tables?:,Functionality- Which is your favorite desk?:,Functionality- Why is it your favorite desk?: 1,Functionality- Why is it your favorite desk?: 2,Functionality- Why is it your favorite desk?: 3,Functionality- Why is it your favorite desk?: 4,Functionality- Which desk gives you enough space to work? (select all that apply): 1,Functionality- Which desk gives you enough space to work? (select all that apply): 2,Functionality- Which desk gives you enough space to work? (select all that apply): 3,Functionality- Which desk gives you enough space to work? (select all that apply): 4,Functionality- Which desk gives you enough space to work? (select all that apply): 5,Functionality- How often are you rearranging the desks during class?:,Functionality- Which desk is easiest to move or adjust? (select all that apply): 1,Functionality- Which desk is easiest to move or adjust? (select all that apply): 2,Functionality- Which desk is easiest to move or adjust? (select all that apply): 3,Functionality- Which desk is easiest to move or adjust? (select all that apply): 4,Functionality- What are your complaints about the desks?: 1,Functionality- What are your complaints about the desks?: 2,Functionality- What are your complaints about the desks?: 3,Functionality- What are your complaints about the desks?: 4,Functionality- What are your complaints about the desks?: 5,Functionality- What are your complaints about the desks?: 6,Functionality- What are your complaints about the desks?: 7,Functionality- What are your complaints about the desks?: 8,Style- Is the most comfortable chair also your favorite chair design?:,Style- If you could redesign anything about the design of the chair what would it be?: 1,Style- If you could redesign anything about the design of the chair what would it be?: 2,Style- If you could redesign anything about the design of the chair what would it be?: 3,Style- If you could redesign anything about the design of the chair what would it be?: 4,Style- Is your favorite desk also your favorite desk design?:,"Style- If you could redesign anything about your favorite desk, what would it be?: 1","Style- If you could redesign anything about your favorite desk, what would it be?: 2",Overall Experience- How does the furniture affect the function of the classroom? :,Overall Experience- What is your overall feeling about the new classroom furniture?: 1,Overall Experience- What is your overall feeling about the new classroom furniture?: 2,Overall Experience- What is your overall feeling about the new classroom furniture?: 3,Overall Experience- Is there anything you miss about your old classroom?: 1,Overall Experience- Is there anything you miss about your old classroom?: 2,Overall Experience- Is there anything you miss about your old classroom?: 3,Overall Experience- Is there anything you miss about your old classroom?: 4,Overall Experience- Any other thoughts or suggesstions?: 1,Overall Experience- Any other thoughts or suggesstions?: 2
2025-12-17,139,Midland Freshman High School,It looks interesting,the gray ones were my favorite because they were easy to move.,,,,,,,,,,,No,Chair 1,the top part feels nice,,,,Very comfortable,Entire class,Yes,Desk 2,it looks cool,,,,Desk 3,,,,,Periodically (as needed),Desk 3,,,,its cool,,,,,,,,Yes. it's awesome,nothing,,,,Yes. it's awesome,nothing,,It's a nice upgrade,its cool,,,no,,,,make the chocolate cookies in lunch free with the limit of 2 cookies only if they want more make them pay 50 cents,
2025-12-17,140,Midland Freshman High School,It looks interesting,the light grey one the little one not the bigger one because they are easier to move around and I like the grey charis the one with no holes,,,,,,,,,,,Yes,Chair 3,the one with u holes,,,,Very comfortable,Entire class,Yes,Desk 2,the little get one because it is easier to move,,,,Desk 2,,,,,Classroom layout stays the same,Desk 2,,,,I have no complaints,,,,,,,,Yes. it's awesome,different color give the room more colors,,,,Yes. it's awesome,nothinng,,It's a nice upgrade,I love it,,,nope,,,,no,
2025-12-17,141,Midland Freshman High School,It looks interesting,gray desk with wheels chairs with hooks on the back for your backpack,,,,,,,,,,,Yes,Chair 1,because its comfortable and has a place to put your bag or backpack,,,,Very comfortable,Entire class,Yes,Desk 3,its small and easy to work on,,,,All of them,,,,,Periodically (as needed),Desk 3,,,,nothing,,,,,,,,It's fine,more lighter,,,,Yes. it's awesome,nothing,,It's a nice upgrade,good quality,,,no,,,,no,
2025-12-17,142,Midland Freshman High School,"Wow, I love it!",I would have to say the desk especially the short gray ones that you can adjust the height on with wheels for easy movement,,,,,,,,,,,Yes,Chair 3,it feels comfortable to me,,,,Somewhat comfortable,Entire class,Yes,Desk 3,I like it,,,,All of them,,,,,Classroom layout stays the same,Desk 1,,,,nothing I'm not picky about them,,,,,,,,It's fine,nothing,,,,It's fine,nothing,,It's a nice upgrade,better than my furniture last year,,,nope,,,,nope,
2025-12-17,143,Midland Freshman High School,It looks interesting,The desks look different from the old desk that we used to have.,,,,,,,,,,,No,Chair 3,its comfortable and big,,,,Very comfortable,Entire class,Yes,Desk 3,it moves,,,,Desk 3,Desk 2,,,,Periodically (as needed),Desk 3,Desk 2,Desk 3,Desk 1,none,,,,,,,,It's fine,nothung,,,,Yes. it's awesome,not as tall,,It's a nice upgrade,looks nice,,,no,,,,no,
2025-12-17,144,Midland Freshman High School,It looks interesting,The piece of furniture that caught my eye first was the tall gray dark one with the wheels at the bottom. When I first saw it I said it does not look like the old furniture.,,,,,,,,,,,Yes,Chair 3,This chair is my favorite because it is really comfortable and it is not heavy like some other chairs.,,,,Very comfortable,Entire class,Yes,Desk 3,It is my favorite desk because it is easy to move around and if it is to tall you can make it shorter and it is a really comfortable desk.,,,,Desk 3,,,,,Periodically (as needed),Desk 3,,,,The brown one has an outside leg and it's not very easy to make a group with them but the other desk are fine.,,,,,,,,Yes. it's awesome,I would not redesign anything about the chair,,,,Yes. it's awesome,I would not redesign the desk again.,,It's a nice upgrade,I really love this new furniture it's way better than the old one,,,"No, I don't miss anything old from my classroom.",,,,No thought or suggestions,
2025-12-17,145,Midland Freshman High School,It looks interesting,The four other types of desks and chairs.,The big grey desks and studded chairs.,:|,Those were the only ones dude.,THE STUDDED CHAIRS AND GREY DESKS,,,,,,,Yes,Chair 4,Not that big and more comfortable than goddards,,,,Somewhat comfortable,Entire class,Yes,Desk 3,It's big enough for crap and easy to move.,,,,All of them,,,,,Periodically (as needed),Desk 3,Desk 3,,,Some are too small for people who doesn't organize their things.,,,,,,,,It's fine,Nothing,,,,It's fine,Nothing again,,It's a nice upgrade,Some of the other classrooms don't have this so that's cool.,,,HELL NO. Not much I can remember anyway.,,,,Nope.,
2025-12-17,146,Midland Freshman High School,"Wow, I love it!",cool,the cool one.,the cool one .,the cool one,,,,,,,,Yes,Chair 4,it looks cool.,,,,Very uncomfortable,None of the class,Yes,Desk 3,rij,,,,Desk 1,,,,,Daily,Desk 1,,,,bh,,,,,,,,It's fine,bbn,,,,It's fine,t4t243,,No big difference,jkhu,,,jnn,,,,mmn,
2025-12-17,147,Midland Freshman High School,It looks interesting,the ones where you can't really get through and not alot of space because they are big,,,,,,,,,,,Yes,Chair 3,comfortable,,,,Somewhat comfortable,Entire class,No,Desk 3,big has space easy to get theough,,,,Desk 3,,,,,Classroom layout stays the same,Desk 3,Desk 3,,,big not easy to get out from,,,,,,,,It's fine,taller,,,,It's fine,easy way to get out,,I liked the old setup more,its okay could be more convenient,,,the tables would sit two per table that the tables were connected,,,,no,
2025-12-17,148,Midland Freshman High School,It looks interesting,"Long tables and grey chairs with holes in the part where you rest your back are convenient for a workspace, and my back doesn't hurt as much.",,,,,,,,,,,Yes,Chair 3,My back doesn't hurt nearly as much when I'm sitting here.,,,,Very comfortable,Entire class,Yes,Desk 1,This is my favorite desk because of how convenient it is for work without my desk feeling cluttered or crowded!,,,,Desk 1,,,,,Periodically (as needed),Desk 3,,,,My favorite desk is harder to move!,,,,,,,,Yes. it's awesome,"nothing really, it's ok with how it is.",,,,Yes. it's awesome,straighten the legs a bit and add more wheels so I can be moved more easily.,,It's a nice upgrade,"It works for different people, for example, the big desks are very spacious and help me keep things less clustered! The chair with the little holes in the back dont hurt my back.",,,not really.,,,,hopefully these are gonna be applied to every classroom,
2025-12-17,149,Midland Freshman High School,It looks interesting,what  caught my eye first were the tables,,,,,,,,,,,No,Chair 4,its very comfy and are easy to move,,,,Very comfortable,Most of the time,Yes,Desk 3,I likes causes their a perfect size and are not to big or small,,,,Desk 3,Desk 3,Desk 1,,,Classroom layout stays the same,Desk 1,Desk 3,,,Nothing at all,,,,,,,,It's fine,maybe the colors to maybe purple to represent our school colors,,,,It's fine,,,It's a nice upgrade,I like  it I think its way better then the other tables and chairs,,,no,,,,no,
2025-12-17,150,Midland Freshman High School,It looks interesting,I either like the tall grey desk or the short grey desks. They are both good for tall and short people. And I like the chairs that kinda have like holes in them and not the solid grey ones.,,,,,,,,,,,Yes,Chair 3,It's more comfy than the other ones.,I don't really know it's just comfy.,The back kinda moves so you can like be more comfy.,,Very comfortable,Entire class,Yes,Desk 3,I like how tall is it,,,,Desk 1,Desk 3,,,,Periodically (as needed),Desk 3,Desk 1,,,Some of the legs pop of the tables so you can't really get the desk close together.,,,,,,,,Yes. it's awesome,Maybe more adjustable,,,,Yes. it's awesome,A little more wider,,It's a nice upgrade,I like it a lot better than the triangle desk and the desk connected  to the seats.,,,Nothing,,,,No,
2025-12-17,151,Midland Freshman High School,"Wow, I love it!",The big tables,I liked how the tables and chairs weren't together and they were separate I also like how big the tables were.,,,,,,,,,,Yes,Chair 1,Because they are comfortable.,,,,Somewhat comfortable,Entire class,Yes,Desk 1,Because of how big it is.,,,,Desk 1,,,,,Periodically (as needed),Desk 3,,,,Nothing.,,,,,,,,It's fine,nothing,,,,It's fine,nothing,,No big difference,alright.,,,no,,,,no,
2025-12-17,152,Midland Freshman High School,"Wow, I love it!",the grinch,grinch,,,,,,,,,,No,Chair 2,its comfortable,,,,Somewhat comfortable,Entire class,No,Desk 3,it has whells,,,,All of them,,,,,Classroom layout stays the same,Desk 3,,,,no complaints,,,,,,,,It's fine,I don't know,,,,Yes. it's awesome,the df,,It's a nice upgrade,good,,,no,,,,no,
2025-12-17,153,Midland Freshman High School,"Wow, I love it!",i like these chairs and desk better then the old the old is so annoying,the amount of space i finally had,the  desk with the rolling things on it,,,,,,,,,Yes,Chair 3,,,,,Very comfortable,Most of the time,No,Desk 1,that one,,,,All of them,,,,,Classroom layout stays the same,Desk 1,,,,no,,,,,,,,Yes. it's awesome,a lean back chair,,,,It's fine,nun,nun,It's a nice upgrade,i like it,like it,,no,,,,no,
2025-12-17,154,Midland Freshman High School,It looks interesting,The giant desks caught my eye first.,,,,,,,,,,,Yes,Chair 3,It is the most comfortable chair.,,,,Somewhat comfortable,Entire class,Yes,Desk 1,"It is the desk I use a lot. So, I am used to it.",,,,Desk 1,,,,,Periodically (as needed),Desk 3,,,,I don't really care about the desks that much.,,,,,,,,It's fine,I don't want to redesign anything.,,,,It's fine,I don't want to redesign anything.,,No big difference,It's fine.,,,Not really.,,,,No.,
2025-12-17,155,Midland Freshman High School,"Wow, I love it!",the dest was so much big and I have a lot of room,,,,,,,,,,,Yes,Chair 3,its is nice and it has a big back,,,,Very comfortable,Entire class,Yes,Desk 1,its good and nice and its so much room for my stuff,,,,All of them,,,,,Weekly,Desk 3,,,,that one of them has the leg outside but not in,,,,,,,,It's fine,I really don't know I like it,,,,Yes. it's awesome,nothing,,It's a nice upgrade,I love it and its more bigger thank you,,,no,,,,no,
2025-12-17,156,Midland Freshman High School,It looks interesting,the chairs I like the chair with the nets on them,,,,,,,,,,,Yes,Chair 3,It is more comfortable,,,,Very comfortable,Entire class,Yes,Desk 3,Because it is able to move  up and down like it is height ajustivable,,,,Desk 3,,,,,Periodically (as needed),Desk 3,,,,they are much lighter then the rest,,,,,,,,Yes. it's awesome,A little shorter,,,,Yes. it's awesome,A little more bigger,,No big difference,Some of it is pretty good,,,stools,,,,no,
2025-12-17,157,Lee High School,"Wow, I love it!",All of the new desks.,,,,,,,,,,,No,Chair 1,I like the rubber part at the top.,,,,Very comfortable,Entire class,No,Desk 3,It has a backpack hook.,,,,All of them,,,,,Periodically (as needed),Desk 3,,,,None.,,,,,,,,Yes. it's awesome,Nothing.,,,,Yes. it's awesome,Nothing.,,It's a nice upgrade,It is nice.,,,No.,,,,None.,
2025-12-17,158,Midland Freshman High School,"Wow, I love it!",The desk are a nice color and the charis are good,,,,,,,,,,,Yes,Chair 3,Because it feels pretty good on my back,,,,Very comfortable,1/2 of the class,No,Desk 3,That desk looks cool when its all black,,,,Desk 2,,,,,Classroom layout stays the same,Desk 3,,,,There is really no complaints for these desk,,,,,,,,It's fine,I wouldne't do nothing they look good,,,,It's fine,I wouldn't redesign it because there perfect how they are,,It's a nice upgrade,I feel good now ima get 100 on every grade,My overall feeling is good,,Nah not really,No there isnt,,,No its good,
2025-12-17,159,Midland Freshman High School,It looks interesting,chairs,tables,,,,,,,,,,Yes,Chair 4,because it feels good,,,,Somewhat comfortable,1/2 of the class,Yes,Desk 2,Because it's tall for me to sit down on,,,,Desk 3,,,,,Classroom layout stays the same,Desk 2,,,,nun really just need better,,,,,,,,It's fine,I don't know for real,,,,It's fine,I don't know again,,No big difference,we did not get new furniture yet,,,The class mates,,,,nope,
2025-12-17,160,Midland Freshman High School,How is this going to work?,i just like the square gary tables and the both of the gray chairs the ones that are not connected they comfortable,,,,,,,,,,,Yes,Chair 3,they are comfortable and easy to move,because it's comfortable,,,Very comfortable,Most of the time,Yes,Desk 3,its small and useful,,,,Desk 1,Desk 3,,,,Classroom layout stays the same,Desk 3,,,,they are just a bit to high the tables but thats okay,,,,,,,,Yes. it's awesome,i  wouldn't i'm a student not an architect,,,,Yes. it's awesome,i wouldn't,,It's a nice upgrade,its fine functional doesn't get in the way,,,not really,,,,no,
2025-12-17,161,Midland Freshman High School,"Wow, I love it!",the desk i don't like these wood looking ones because it wont ever go together and the legs are off i like the small grey ones there easy and light.,,,,,,,,,,,Yes,Chair 2,,,,,Very comfortable,Entire class,Yes,Desk 3,,,,,Desk 3,,,,,Classroom layout stays the same,,,,,,,,,,,,,Yes. it's awesome,,,,,,,,,,,,,,,,,
2025-12-17,162,Midland Freshman High School,It looks interesting,furniture that caught my eye first was the light gray tables that have like the things so you can move them and the lighter chairs the I believe light gray ones cause they are so easy to move.,,,,,,,,,,,No,Chair 2,well I believe that ones is the one with less weight,,,,Somewhat comfortable,Entire class,No,Desk 3,its just easier to move around and you can adjust it to  your height,,,,Desk 1,,,,,Weekly,Desk 3,,,,there is no complains,,,,,,,,Yes. it's awesome,for it to have wheels so I can just roll it to the spot I need it to be instead of picking it up and taking it,,,,Yes. it's awesome,just making it a bit more bit so if we have a poster to make the paper fits on it well,,It's a nice upgrade,its just awesome cause we usually have the same ones and like its just you get tired of it you know,,,not really other than having our backpacks to ourselves and being able to sit anywhere,,,,not really,
2025-12-17,163,Midland Freshman High School,It looks interesting,The small white tables are visually and physically appealing since there isn't too much of space while there isn't too little of space either. The metal chairs give a lot of cushion and I like that.,,,,,,,,,,,No,Chair 3,because of how open and comfortable it is for me since it has a small sinking depth into it and that helps me sit up right while I have something to lean back into,,,,Very comfortable,Entire class,No,,"the table is extremely good and not overly large, there is enough room for me to stretch my legs and body so I don't feel overly closed in all the time",,,,Desk 3,,,,,Classroom layout stays the same,Desk 1,,,,the desk is extremely small compared to the others and due to this I can't really have my arms falling on the table cause my elbows will hang off of them and that's really uncomfortable,,,,,,,,It's fine,,,,,It's fine,,,It's a nice upgrade,The new classroom furniture is a oddly comfortable bunch since you can basically adjust yourself in any position and it's relaxing and not uncomfortable,,,There isn't a single thing I miss about my old classroom,,,,No other thoughts,
2025-12-17,164,Midland Freshman High School,It looks interesting,pues no es UN mueble pero me llama mucho la atencion El bulldog que esta por las escaleras muy bonito,,,,,,,,,,,No,Chair 3,mi favorite es la que no esta tan doblada pero tampoco tan recta,,,,Very comfortable,Most of the time,No,Desk 2,es mi favorite porque tiene mucho espacio,,,,Desk 2,,,,,Classroom layout stays the same,Desk 3,,,,,,,,,,,,It's fine,,,,,It's fine,,,No big difference,,,,no,,,,,
2025-12-17,165,Midland Freshman High School,It looks interesting,one of the big desk because you would have more room to put your stuff and not have to be in a small space. you can also have your arms out while your writing and not hit the person next to you,they also allow you to work on a poster project because of the size it has. I also enjoyed the chairs because they bend a little and allow you to be able to move and not be straight up all the time,I also liked how the desk are way easier to move then having to push them with nothing on the bottom but these have wheels that help move,,,,,,,,,Yes,Chair 3,its big and allows you to have more room to sit and not be cramped in the small chairs and it also has a little bend to it,,,,Very comfortable,Entire class,Yes,Desk 1,It has a lot of space to let you put your things down and not have everything stacked and it helps when you need to have your arms out while writing because you don't hit the person next to you.,,,,Desk 1,Desk 3,,,,Classroom layout stays the same,Desk 1,Desk 3,Desk 3,,my only complaint is that some desk are small and don't let you have enough room to work and you hit the person next to you while your working,,,,,,,,Yes. it's awesome,I would make them flex able to where you can lean back a little but not much where you can lay down,,,,Yes. it's awesome,I would keep it the same because you can have room and not hit the person next to you and you can work on  a poster on that desk because of the amount of space it has to work on.,,It's a nice upgrade,it allows kids to be able to work better with the space and the comfort of the new chairs instead of the old straight up ones,,,no there is nothing I miss of my old classroom because this has way more space on the desk and chairs to let us work freely and not hit each other while working,,,,make all the desk big so we can have more room to work and not be hitting each other while working,
2025-12-17,166,Lee High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,167,Lee High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-18,168,Lee High School,It looks interesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-18,169,Lee High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-18,170,Lee High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-18,171,Lee High School,"Wow, I love it!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-18,172,Lee Freshman High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-18,173,Lee High School,How is this going to work?,,,,,,,,,,,,Yes,Chair 1,,,,,Somewhat comfortable,Most of the time,Yes,Desk 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-18,174,Lee High School,It looks interesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-18,175,Midland Freshman High School,"Wow, I love it!","I love the netted chairs the most, they're very comfortable to sit in, making it easier to work.",,,,,,,,,,,Yes,Chair 3,"It's very easy to sit in and rest your back on, while also helping you sit straight. Very easy to work in.",,,,Very comfortable,Entire class,Yes,Desk 1,"They move very easily, which helps when I need to get up to ask the teacher something, throw something away, or if I forgot something. Very useful if you ask me.",,,,Desk 1,,,,,Classroom layout stays the same,Desk 1,,,,"The desks with four wheels move too easily, making it hard to actually do work; the one without little circles touching the floor makes a lot of noise when you move it, it's very embarrassing.",,,,,,,,Yes. it's awesome,"Not anything, it's a big chair and doesn't weigh much, and sitting in them is very convenient, considering they're most comfortable to me.",,,,Yes. it's awesome,"The white and gray are very easy to look at, calming too. It moves easily when you want it to; I wouldn't change anything about it.",,It's a nice upgrade,"Since I sit in a seat that has both of my favorite furniture, I like it much better than the past furniture. My work here has been much better compared to before(last year). The seats help me focus.",,,Nope.,,,,"Keep these two, please. They're an amazing upgrade.",
2025-12-18,176,Midland Freshman High School,It looks interesting,the grey tall desk because I'm very tall so why would I want a small desk. the grey desk also has lots of space but to much and you can lock the wheels.,,,,,,,,,,,Yes,Chair 1,The bottom of the seat has lots of room to wear I can sit with my feet up comfortably.,,,,Very comfortable,Entire class,Yes,Desk 3,The desk is tall and has lots of room but not to much and very easy to move around and adjust.,,,,Desk 1,Desk 3,,,,Periodically (as needed),Desk 1,Desk 3,,,,,,,,,,,Yes. it's awesome,,,,,Yes. it's awesome,,,It's a nice upgrade,,,,,,,,,
2025-12-18,177,Midland Freshman High School,It looks interesting,the black chairs with texture back.,grey tables with straight legs,,,,,,,,,,Yes,Chair 4,it is comfortable and easy to move around,,,,Very comfortable,Most of the time,Yes,Desk 3,because I have more room to work and it is easy to put the desks together,,,,Desk 3,,,,,Periodically (as needed),Desk 3,,,,some of them are not easy to move don't have enough room to work and do not go together when working with a partner,,,,,,,,It's fine,none,,,,Yes. it's awesome,none,,It's a nice upgrade,I like it a lot more very comfortable,,,no,,,,none.,
2025-12-18,178,Midland Freshman High School,It looks interesting,the desk,,,,,,,,,,,No,Chair 3,its comfortable,,,,Neither comfortable nor uncomfortable,Entire class,Yes,Desk 2,its not too big or small,,,,Desk 3,Desk 2,,,,Periodically (as needed),Desk 2,Desk 3,,,,,,,,,,,It's fine,nothing,,,,It's fine,nothing,,It's a nice upgrade,its nice,,,no,,,,,
2025-12-18,179,Midland Freshman High School,It looks interesting,The gery chair with the mess back.,,,,,,,,,,,Yes,Chair 3,It more comfortable to sit in and doesn't hurt you back so where you actually don't mind sitting in them.,,,,Very comfortable,Entire class,Yes,Desk 1,There not to short where your knees hit the desk but not to tall were it you have such a big space.,,,,Desk 1,,,,,Periodically (as needed),Desk 2,Desk 3,,,The one with the matal bar and the chair atched is to short it hurts to sit in no can't move and gives back pain.,,,,,,,,Yes. it's awesome,I would make it just were it only has two  legs and not four,,,,,,,It's a nice upgrade,,,,,,,,,
2025-12-18,180,Midland Freshman High School,"Wow, I love it!","the big grey movable desk with the wheels & I like the chairs with that bendable rubber on the back that are grey they are very comfortable & movable. for people the old ones are small, tight, & heavy",,,,,,,,,,,No,Chair 1,because the bedable back of rubber doesn´t hurt while streching & the others are hard plastic and small and hard to move because they are heavy.,,,,Very comfortable,Entire class,No,Desk 3,it is very easy to move around and they are not that heavy and they can adjust to anyhight just in case they are really small.,,,,Desk 3,Desk 3,All of them,Desk 1,Desk 2,Classroom layout stays the same,Desk 3,,,,some of them are just ugly and when you try squishing the desk together the desk sometimes the desk leave little gaps due to poles being there,,,,,,,,Yes. it's awesome,the legs could maybe be moveable a little and have the leg lock too,,,,Yes. it's awesome,it would be adjustable like my favorite one and they can also have a big desk part where you have a good amount of room for working,,It's a nice upgrade,it is pretty good you just have to get the good desk when your in class,,,not really we had the standard desk that have the pole on the right and i felt like that was so annoying because you can´t move and can't stretch or get up on the right side,,,,please put the desk i said in the new high school because they are really comfortable and they would make the classroom look really sophisticated,
2025-12-18,181,Midland Freshman High School,It looks interesting,the really big desk because its so much room.,,,,,,,,,,,Yes,Chair 3,because its cozy,,,,Very comfortable,Entire class,No,Desk 1,its so much space,,,,Desk 1,,,,,Classroom layout stays the same,Desk 2,,,,the wood ones are two small,the only complain is about the wood desk its not enough space,,,,,,,Yes. it's awesome,I dont know,,,,Yes. it's awesome,nothing,,It's a nice upgrade,its nice,,,no,,,,nope,
2025-12-18,182,Midland Freshman High School,How is this going to work?,the lad talbes,,,,,,,,,,,Yes,Chair 2,I jsfeel confortado,,,,Very comfortable,Entire class,Yes,Desk 1,its big and more space with projects and work,,,,Desk 1,,,,,Daily,Desk 1,,,,they are not sturdy at all and there different hights,,,,,,,,It's fine,nothing,,,,It's fine,npthing,,No big difference,different drignigs hights and colors,,,no,,,,no,
2025-12-18,183,Midland Freshman High School,It looks interesting,Some furniture that caught my eye were the tall grey desk and little chairs they both looked cool.,,,,,,,,,,,Yes,Chair 2,the back of the chair is comfortable and it fits perfect,,,,Very comfortable,Entire class,Yes,Desk 3,it is stable and easy to work with and work on,,,,Desk 3,,,,,Periodically (as needed),Desk 3,,,,nothing its great,,,,,,,,Yes. it's awesome,I would make it another color like gold or purple,,,,Yes. it's awesome,I wouldn't do nothing,,No big difference,it fits the classroom,,,no,,,,not that I could think of,
2025-12-18,184,Midland Freshman High School,"Wow, I love it!",The chairs,chairs,,,,,,,,,,Yes,Chair 2,it is controuble,,,,Very comfortable,Entire class,Yes,Desk 3,because it moves easy.,,,,Desk 3,,,,,Daily,Desk 3,,,,they are too big and sometimes I hit my self with them,,,,,,,,Yes. it's awesome,that  they had little tires,,,,Yes. it's awesome,that they all had tires,,It's a nice upgrade,it is okay it doesn't care that much,,,nothing,,,,no,
2025-12-18,185,Midland Freshman High School,It looks interesting,the difference in the chairs and desk,,,,,,,,,,,Yes,Chair 3,because if I need I can always move my chair back as far as I want,,,,Somewhat comfortable,Entire class,Yes,Desk 3,because its easy to move and its easy to line up with other desk,,,,Desk 3,,,,,Daily,Desk 3,,,,some are to small and the rest I hate that its the desk and chair and you cant move back and your like stuck,,,,,,,,Yes. it's awesome,nothing or maybe add like cushioning,,,,It's fine,nothing,,It's a nice upgrade,its nice,,,no,,,,no,
2025-12-18,186,Midland Freshman High School,It looks interesting,"The desks, they were grey and a lot easier to move around",,,,,,,,,,,No,Chair 1,it has no wholes and is very soft,,,,Very comfortable,Entire class,Yes,Desk 2,it really simple and lightweight,,,,Desk 1,,,,,Periodically (as needed),Desk 1,,,,no complaints,,,,,,,,Yes. it's awesome,just a bit bigger,,,,Yes. it's awesome,make it a bit bigger,,It's a nice upgrade,its nice and new,,,not really,,,,nothing really,
2025-12-18,187,Midland Freshman High School,It looks interesting,the tables,,,,,,,,,,,Yes,Chair 2,is the most comfortable,,,,Somewhat comfortable,Entire class,Yes,Desk 2,its the biggest and has the most room,,,,All of them,,,,,Periodically (as needed),Desk 3,,,,some times they are too small,,,,,,,,Yes. it's awesome,nothing,,,,Yes. it's awesome,its could be more easy to move,,It's a nice upgrade,its good,,,nothing,,,,nope,
2025-12-18,188,Midland Freshman High School,It looks interesting,the big desk,,,,,,,,,,,Yes,Chair 3,its big and comfortable,,,,Somewhat comfortable,Most of the time,Yes,Desk 3,"because its big and rolls, but it still lines up with other desks",,,,Desk 3,Desk 1,,,,Periodically (as needed),Desk 3,,,,nothing,,,,,,,,Could be better,"fun, or wobbly",,,,Could be better,make them fun and colorful,,No big difference,its nice,,,no not really,no,,,no not any,
2025-12-18,189,Midland Freshman High School,It looks interesting,small dark grey desks and small black chairs,,,,,,,,,,,Yes,Chair 2,small black chair,because it small and easy to sit down and get up and is convenient for space,,,Very comfortable,Entire class,Yes,Desk 3,easy to move very comfortable and good size,,,,Desk 3,,,,,Periodically (as needed),Desk 3,,,,nothing,,,,,,,,It's fine,nothing its fine the way it is only make the back part like bigger and curve it a little bit,,,,Yes. it's awesome,nothing,,It's a nice upgrade,its nice and makes classes look nicer,,,no,,,,nope,
2025-12-18,190,Midland Freshman High School,"Wow, I love it!",chair,,,,,,,,,,,Yes,Chair 3,it has alot of space,,,,Somewhat comfortable,Entire class,Yes,Desk 3,a lot of space so I can fit all my stuff on it for class,,,,Desk 1,Desk 3,,,,Weekly,Desk 3,,,,can't line them up evenly,,,,,,,,It's fine,,,,,Yes. it's awesome,,,It's a nice upgrade,,,,no,,,,,
2025-12-18,191,Lee High School,It looks interesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
